source,target,stock,year
AT,IR,17062,2017
AT,IQ,6082,2017
AT,IE,1084,2017
AT,IL,2821,2017
AT,IT,32746,2017
AT,JM,229,2017
AT,JP,3270,2017
AT,JO,824,2017
AT,KZ,1214,2017
AT,KE,1081,2017
AT,KW,278,2017
AT,KG,713,2017
AT,LA,136,2017
AT,LV,887,2017
AT,LB,2027,2017
AT,LS,4,2017
AT,LR,301,2017
AT,LY,505,2017
AT,LI,416,2017
AT,LT,1000,2017
AT,LU,840,2017
AT,MG,82,2017
AT,MW,41,2017
AT,MY,531,2017
AT,MV,9,2017
AT,ML,109,2017
AT,MT,118,2017
AT,MR,36,2017
AT,MU,125,2017
AT,MX,1664,2017
AT,FM,1,2017
AT,MC,26,2017
AT,MN,1986,2017
AT,ME,24052,2017
AT,MA,2120,2017
AT,MZ,73,2017
AT,MM,78,2017
AT,NA,201,2017
AT,NR,1,2017
AT,NP,647,2017
AT,NL,9333,2017
AT,NZ,487,2017
AT,NI,229,2017
AT,NE,34,2017
AT,NG,9343,2017
AT,NO,1063,2017
AT,OM,34,2017
AT,PK,5301,2017
AT,PW,1,2017
AT,PA,68,2017
AT,PG,66,2017
AT,PY,252,2017
AT,PE,1858,2017
AT,PH,15258,2017
AT,PL,72666,2017
AT,PT,1897,2017
AT,PR,6,2017
AT,QA,27,2017
AT,MD,1959,2017
AT,RO,77376,2017
AT,RU,34105,2017
AT,RW,232,2017
AT,KN,2,2017
AT,LC,15,2017
AT,VC,11,2017
AT,WS,4,2017
AT,SM,1,2017
AT,ST,2,2017
AT,SA,525,2017
AT,SN,368,2017
AT,RS,214925,2017
AT,SC,48,2017
AT,SL,294,2017
AT,SG,314,2017
AT,SK,29919,2017
AT,SI,19719,2017
AT,SB,15,2017
AT,SO,1337,2017
AT,ZA,3074,2017
AT,ES,4539,2017
AT,LK,1080,2017
AT,PS,305,2017
AT,SD,699,2017
AT,SR,22,2017
AT,SZ,25,2017
AT,SE,3910,2017
AT,CH,17400,2017
AT,SY,10967,2017
AT,TJ,312,2017
AT,MK,24139,2017
AT,TH,6171,2017
AT,TG,241,2017
AT,TO,7,2017
AT,TT,77,2017
AT,TN,4063,2017
AT,TR,203550,2017
AT,TM,154,2017
AT,TV,13,2017
AT,UG,301,2017
AT,UA,9064,2017
