source,target,stock
AU,TG,364
AU,TK,773
AU,TO,12354
AU,TT,2012
AU,TN,707
AU,TR,45082
AU,TM,66
AU,TV,199
AU,UG,3561
AU,UA,18061
AU,AE,7476
AU,GB,1351846
AU,TZ,4623
AU,US,116001
AU,UY,11679
AU,UZ,1703
AU,VU,1648
AU,VE,5132
AU,VN,238307
AU,YE,707
AU,ZM,7465
AU,ZW,40724
AW,BQ,298
AW,CN,1134
AW,CO,9827
AW,CW,2471
AW,DM,107
AW,DO,4355
AW,GD,259
AW,GY,290
AW,HT,1642
AW,IN,332
AW,JM,750
AW,NL,4615
AW,NI,107
AW,PE,1141
AW,PH,1010
AW,PT,165
AW,VC,113
AW,SX,705
AW,SR,1345
AW,TR,10
AW,US,616
AW,VE,3421
AZ,AF,182
AZ,AM,145693
AZ,BY,450
AZ,EE,476
AZ,GE,50173
AZ,DE,279
AZ,IR,1501
AZ,KZ,3552
AZ,KG,2507
AZ,MD,277
AZ,RU,28215
AZ,TJ,244
AZ,TR,2080
AZ,TM,1691
AZ,UA,2763
AZ,UZ,16707
BA,AT,201
BA,HR,12287
BA,FR,167
BA,DE,532
BA,HU,153
BA,IT,111
BA,ME,4229
BA,RO,390
BA,RU,170
BA,RS,9831
BA,SK,3259
BA,SI,1886
BA,MK,2961
BB,AG,195
BB,AU,24
BB,BS,49
BB,BZ,22
BB,BM,28
BB,CA,692
BB,CN,43
BB,CU,58
BB,DM,338
BB,GD,391
BB,GY,6629
BB,HT,33
BB,IN,465
BB,JM,999
BB,KN,109
BB,LC,2188
BB,VC,3130
BB,SR,47
BB,TT,1497
BB,GB,2522
BB,US,1039
BD,BH,30877
BD,BR,15274
BD,KH,20109
BD,CN,166646
BD,IN,35250
BD,ID,156500
BD,JP,14090
BD,LA,90253
BD,MY,208406
BD,MM,239742
BD,NP,39988
BD,NO,14651
BD,SG,9811
BD,TH,10799
BD,GB,34266
BD,US,47103
BD,VN,28176
BE,AF,2311
BE,AL,4389
BE,DZ,10130
BE,AO,2747
BE,AR,531
BE,AM,5822
BE,AU,803
BE,AT,2878
BE,AZ,756
BE,BS,2
BE,BH,2
BE,BD,1074
BE,BB,6
BE,BY,1597
BE,BJ,576
BE,BT,114
BE,BO,339
BE,BA,1929
BE,BW,11
BE,BR,5901
BE,BG,14850
BE,BF,591
BE,BI,2016
BE,CV,183
BE,KH,260
BE,CM,8277
BE,CA,3141
BE,CF,120
BE,TD,189
BE,CL,1088
BE,CN,9776
BE,CO,1629
BE,CG,750
BE,CR,115
BE,CI,2244
BE,HR,910
BE,CU,679
BE,CY,351
BE,CZ,2947
BE,KP,19
BE,CD,20359
BE,DK,3389
BE,DJ,497
BE,DM,30
BE,DO,745
BE,EC,2954
BE,EG,1392
BE,SV,107
BE,GQ,20
BE,ER,130
BE,EE,787
BE,ET,835
BE,FJ,8
BE,FI,3406
BE,FR,158122
BE,GA,328
BE,GM,232
BE,GE,1887
BE,DE,44451
BE,GH,3540
BE,GR,16685
BE,GT,147
BE,GN,4598
BE,GW,53
BE,GY,19
BE,HT,277
BE,HN,66
BE,HU,4252
BE,IS,215
BE,IN,7811
BE,ID,1391
BE,IR,5057
BE,IQ,3730
BE,IE,4087
BE,IL,1605
BE,IT,186116
BE,JM,129
BE,JP,5121
BE,JO,386
BE,KZ,2365
BE,KE,559
BE,KW,10
BE,KG,1279
BE,LA,131
BE,LV,1079
BE,LB,2074
BE,LS,12
BE,LR,430
BE,LY,192
BE,LI,17
BE,LT,1592
BE,LU,4975
BE,MG,493
BE,MW,30
BE,MY,408
BE,MV,2
BE,ML,372
BE,MT,385
BE,MR,968
BE,MU,734
BE,MX,1064
BE,MC,8
BE,MN,431
BE,ME,144
BE,MA,92399
BE,MZ,43
BE,MM,91
BE,NA,12
BE,NP,1605
BE,NL,150578
BE,NZ,264
BE,NI,62
BE,NE,1156
BE,NG,2919
BE,NO,1462
BE,OM,11
BE,PK,4314
BE,PA,50
BE,PG,1
BE,PY,149
BE,PE,1144
BE,PH,3510
BE,PL,48584
BE,PT,37305
BE,KR,790
BE,MD,1027
BE,RO,29749
BE,RU,14447
BE,RW,3771
BE,SM,21
BE,ST,10
BE,SA,46
BE,SN,1594
BE,RS,2520
BE,SC,19
BE,SL,737
BE,SG,207
BE,SK,4580
BE,SI,862
BE,SO,883
BE,ZA,901
BE,ES,51005
BE,LK,705
BE,PS,379
BE,SD,458
BE,SR,279
BE,SE,4990
BE,CH,2360
BE,SY,2039
BE,TJ,69
BE,MK,3709
BE,TH,3557
BE,TG,2593
BE,TN,4470
BE,TR,44597
BE,TM,14
BE,UG,271
BE,UA,3397
BE,GB,28234
BE,TZ,235
BE,US,12779
BE,UY,88
BE,UZ,1690
BE,VE,444
BE,VN,1315
BE,YE,59
BE,ZM,134
BE,ZW,144
BF,BJ,4203
BF,CI,544036
BF,GH,32411
BF,ML,44078
BF,NE,12833
BF,NG,5201
BF,SN,4057
BF,TG,15485
BG,AF,483
BG,AL,1706
BG,DZ,555
BG,AO,10
BG,AI,54
BG,AG,6
BG,AR,178
BG,AM,2252
BG,AW,6
BG,AU,297
BG,AT,781
BG,AZ,2963
BG,BS,5
BG,BH,22
BG,BD,865
BG,BB,5
BG,BY,1064
BG,BE,1597
BG,BZ,2
BG,BJ,45
BG,BM,2
BG,BT,36
BG,BO,27
BG,BA,167
BG,BW,41
BG,BR,171
BG,VG,108
BG,BN,1
BG,BF,19
BG,BI,26
BG,CV,10
BG,KH,19
BG,CM,22
BG,CA,713
BG,KY,3
BG,TD,6
BG,CL,35
BG,CN,1471
BG,CO,49
BG,CG,19
BG,CR,10
BG,CI,10
BG,HR,137
BG,CU,405
BG,CY,1074
BG,CZ,1627
BG,CD,22
BG,DK,224
BG,DJ,3
BG,DO,41
BG,EC,22
BG,EG,241
BG,SV,8
BG,ER,3
BG,EE,112
BG,ET,80
BG,FJ,1
BG,FI,172
BG,FR,1987
BG,GA,16
BG,GM,17
BG,GE,505
BG,DE,5763
BG,GH,20
BG,GI,8
BG,GR,11688
BG,GL,2
BG,GT,6
BG,GN,11
BG,GW,6
BG,GY,5
BG,HT,6
BG,HN,2
BG,HU,550
BG,IS,20
BG,IN,281
BG,ID,55
BG,IR,424
BG,IQ,1306
BG,IE,351
BG,IL,652
BG,IT,3582
BG,JM,6
BG,JP,213
BG,JO,289
BG,KZ,1689
BG,KE,25
BG,KI,5
BG,KW,150
BG,KG,160
BG,LA,1
BG,LV,239
BG,LB,1008
BG,LR,6
BG,LY,309
BG,LI,2
BG,LT,206
BG,LU,73
BG,MG,2
BG,MY,3
BG,MV,2
BG,ML,1
BG,MT,82
BG,MH,1
BG,MR,3
BG,MU,1
BG,MX,65
BG,MC,12
BG,MN,104
BG,ME,41
BG,MA,127
BG,MZ,50
BG,NA,6
BG,NR,2
BG,NP,10
BG,NL,1163
BG,NZ,63
BG,NI,47
BG,NE,1
BG,NG,141
BG,NO,265
BG,OM,3
BG,PK,128
BG,PA,10
BG,PG,3
BG,PY,2
BG,PE,36
BG,PH,73
BG,PL,2286
BG,PT,418
BG,QA,27
BG,MD,3162
BG,RO,8524
BG,RU,30950
BG,RW,2
BG,WS,8
BG,SM,6
BG,SA,54
BG,SN,16
BG,RS,4190
BG,SL,2
BG,SG,17
BG,SK,473
BG,SI,117
BG,SO,21
BG,ZA,260
BG,ES,6440
BG,LK,12
BG,PS,8
BG,SD,56
BG,SZ,3
BG,SE,345
BG,CH,437
BG,SY,2055
BG,TJ,205
BG,MK,3777
BG,TH,26
BG,TO,1
BG,TN,142
BG,TR,9867
BG,TM,425
BG,TC,3
BG,TV,2
BG,UG,8
BG,UA,9639
BG,AE,141
BG,GB,8025
BG,TZ,19
BG,US,3204
BG,UY,22
BG,UZ,1134
BG,VU,22
BG,VE,49
BG,VN,943
BG,WF,1
BG,YE,74
BG,ZM,16
BG,ZW,42
BH,AF,673
BH,BD,80457
BH,TD,441
BH,EG,83015
BH,ER,1590
BH,ET,695
BH,FR,2080
BH,IN,310591
BH,ID,23104
BH,JO,14874
BH,KW,5551
BH,LB,4626
BH,MA,665
BH,NP,3888
BH,NL,218
BH,NG,2003
BH,PK,76674
BH,PH,49322
BH,QA,355
BH,SA,418
BH,SO,532
BH,SS,871
BH,LK,10099
BH,PS,4793
BH,SD,7719
BH,SY,3124
BH,TH,1189
BH,TN,480
BH,TR,2227
BH,AE,4147
BH,GB,1700
BH,US,1149
BH,YE,15397
BI,BE,625
BI,CD,173417
BI,FR,312
BI,KE,1066
BI,RW,66530
BI,UG,921
BI,TZ,28951
BJ,BF,10267
BJ,TD,721
BJ,CG,1971
BJ,CI,14183
BJ,FR,1854
BJ,GH,10539
BJ,ML,1331
BJ,NE,78209
BJ,NG,46036
BJ,TG,49664
BM,AU,68
BM,AT,31
BM,BE,22
BM,CA,2281
BM,CN,346
BM,CU,29
BM,DK,35
BM,DO,20
BM,FR,143
BM,DE,246
BM,GH,123
BM,GR,105
BM,GY,101
BM,HT,1664
BM,IN,524
BM,IE,101
BM,IL,74
BM,IT,72
BM,JM,603
BM,JP,667
BM,MY,36
BM,NG,186
BM,PK,36
BM,PH,407
BM,PL,32
BM,PT,1607
BM,RO,25
BM,ZA,259
BM,ES,128
BM,CH,123
BM,TT,67
BM,TR,142
BM,TC,82
BM,GB,4024
BM,US,3495
BN,AU,544
BN,BD,1304
BN,CN,2172
BN,HK,544
BN,IN,3257
BN,ID,6517
BN,JP,215
BN,MY,51048
BN,NP,5649
BN,NL,324
BN,NZ,215
BN,PK,867
BN,PH,14227
BN,KR,161
BN,SG,1629
BN,LK,1304
BN,TH,15207
BN,GB,2172
BN,US,161
BO,AF,1
BO,AL,1
BO,DZ,3
BO,AO,6
BO,AR,44436
BO,AM,5
BO,AW,2
BO,AU,237
BO,AT,165
BO,AZ,1
BO,BD,29
BO,BY,5
BO,BE,392
BO,BZ,942
BO,BJ,1
BO,BA,10
BO,BR,26738
BO,BG,24
BO,CV,133
BO,CM,12
BO,CA,1436
BO,BQ,20
BO,CF,67
BO,CL,4923
BO,CN,1173
BO,HK,2
BO,CO,3085
BO,CG,7
BO,CR,151
BO,CI,3
BO,HR,39
BO,CU,1842
BO,CW,173
BO,CY,2
BO,CZ,54
BO,KP,10
BO,CD,3
BO,DK,111
BO,DM,3
